Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   28,73","    6,33",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99068","  34,179","   -1,72",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97192","  33,531","   -2,59",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97176","  33,526","   -2,57",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,96404","  12,725","   -4,54",,,"   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96373","  12,721","   -4,07","    5,25","    0,00","   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
