Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   16,49","    5,10",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99298","  34,258","   -0,98",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,98238","  33,892","   -1,35",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97797","  33,740","   -1,58",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,97794","  12,909","   -1,62","   17,13","    0,00","   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96765","  12,773","   -4,07",,,"   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
