Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   28,87","    6,33",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99068","  34,178","   -1,73",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97259","  33,555","   -2,56",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,96977","  33,457","   -2,70",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,96599","  12,751","   -4,01","    5,14","    0,00","   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,95935","  12,663","   -5,23",,,"   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
