Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   28,84","    6,35",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99066","  34,178","   -1,73",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97184","  33,528","   -2,60",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97163","  33,521","   -2,59",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,96395","  12,724","   -4,55",,,"   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96355","  12,719","   -4,10","    5,14","    0,00","   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
