Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   34,26","    7,33",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,98922","  34,128","   -2,06",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,96765","  33,384","   -3,08",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,96555","  33,312","   -3,17",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,95973","  12,668","   -5,05",,,"   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,95507","  12,607","   -5,73",,,"   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
