Bus
Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Dist MW,Dist Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num,Island Number,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   23,53","    5,63",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99183","  34,218","   -1,41",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97705","  33,708","   -2,04",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97353","  33,587","   -2,22",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,97150","  12,824","   -2,98","   10,28","    0,00","   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96316","  12,714","   -4,73",,,"   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
