Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   16,50","    5,27",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99280","  34,252","   -0,98",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97962","  33,797","   -1,52",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,98345","  33,929","   -1,24",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,97181","  12,828","   -3,44",,,"   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,97964","  12,931","   -0,44","   17,13","    0,00","   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
