Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   16,49","    5,12",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99296","  34,257","   -0,98",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,98222","  33,887","   -1,37",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97779","  33,734","   -1,62",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,97778","  12,907","   -1,65","   17,13","    0,00","   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96747","  12,771","   -4,11",,,"   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
