Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   23,51","    5,70",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99176","  34,216","   -1,41",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97536","  33,650","   -2,16",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97695","  33,705","   -2,04",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,96751","  12,771","   -4,10",,,"   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,97091","  12,816","   -2,54","   10,28","    0,00","   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
