Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   23,53","    5,65",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99181","  34,217","   -1,41",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97688","  33,702","   -2,08",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97334","  33,580","   -2,27",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,97133","  12,822","   -3,02","   10,28","    0,00","   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96296","  12,711","   -4,78",,,"   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
