case_id,gmd_m,bess_bus,bess_mw,base_solved,mismatch_max_mva,v_min_base_pu,v_min_bus,v_max_base_pu,max_loading_base_pct,p_loss_base_mw,q_loss_base_mvar,ctg_processed,ctg_solved,voltage_violations,thermal_violations,island_contingency,islanded_load_mw,evidence_path,notes
BESS-01,0.9144,5,10,YES,0,0.9628,6,1,53.178,0.485,1.81,10,10,2,0,FallaTrafo1_SchoolHouse,13.06,GMD_0p9144m_B5/,"El máximo evaluado de 10 MW en B5 no alcanzó el criterio de 0,95 p.u. Resultado SIM; DER histórico archivado."
BESS-02,0.9144,6,5.25,YES,0,0.96373,6,1,48.014,0.654,2.38,10,10,0,0,FallaTrafo1_SchoolHouse,13.06,GMD_0p9144m_B6/,"La potencia evaluada de 5,25 MW en B6 cumplió el criterio de tensión y los límites térmicos. Resultado SIM; DER histórico archivado."
BESS-03,1.2192,5,10,YES,0,0.96259,6,1,53.181,0.485,1.83,10,10,2,0,FallaTrafo1_SchoolHouse,13.06,GMD_1p2192m_B5/,"El máximo evaluado de 10 MW en B5 no alcanzó el criterio de 0,95 p.u. Resultado SIM; DER histórico archivado."
BESS-04,1.2192,6,5.25,YES,0,0.96352,6,1,48.021,0.654,2.41,10,10,0,0,FallaTrafo1_SchoolHouse,13.06,GMD_1p2192m_B6/,"La potencia evaluada de 5,25 MW en B6 cumplió el criterio de tensión y los límites térmicos. Resultado SIM; DER histórico archivado."
