case_id,gmd_m,bess_bus,bess_mw,lower_check_mw,base_solved,mismatch_max_mva,v_min_base_pu,v_min_bus,v_max_base_pu,max_loading_base_pct,p_loss_base_mw,q_loss_base_mvar,ctg_processed,ctg_solved,v_min_ctg_pu,v_min_ctg_bus,governing_contingency,thermal_violations,island_contingency,islanded_load_mw,evidence_path,decision,notes,voltage_violations,max_loading_ctg_pct,max_loading_ctg_element,max_loading_contingency,criterion_status,margin_to_0p95_pu,bess_id_exported,bess_q_mvar,bess_avr,bess_agc,islanded_gen_mw,data_class
BESS-01,0.9144,5,10,NR,YES,0,0.9628,6,1,53.178,0.485,1.81,10,10,0.949679,6,FallaLinea1_PuntaEvans_SchoolHouse,0,FallaTrafo1_SchoolHouse,13.06,GMD_0p9144m_B5/,"El máximo evaluado de 10 MW en B5 no alcanzó el criterio de 0,95 p.u.",lower_check_mw=NR/no ejecutado; pérdidas Q derivadas del balance de CSV redondeado; FV en B1 puede mostrar AVR automático por ser slack.,2,62.695502,2-4-1,FallaLinea1_ElBight_SchoolHouse,NO_CUMPLE_TENSION,-0.000321,BE,0,NO,NO,0,SIM
BESS-02,0.9144,6,5.25,NR,YES,0,0.96373,6,1,48.014,0.654,2.38,10,10,0.950418,6,FallaLinea1_PuntaEvans_SchoolHouse,0,FallaTrafo1_SchoolHouse,13.06,GMD_0p9144m_B6/,"La potencia evaluada de 5,25 MW en B6 cumplió el criterio de tensión y los límites térmicos.",lower_check_mw=NR/no ejecutado; pérdidas Q derivadas del balance de CSV redondeado; FV en B1 puede mostrar AVR automático por ser slack.,0,83.085516,3-5-2,FallaTrafo1_ElBight,CUMPLE_TENSION_Y_TERMICO,0.000418,BE,0,NO,NO,5.25,SIM
BESS-03,1.2192,5,10,NR,YES,0,0.96259,6,1,53.181,0.485,1.83,10,10,0.949337,6,FallaLinea1_PuntaEvans_SchoolHouse,0,FallaTrafo1_SchoolHouse,13.06,GMD_1p2192m_B5/,"El máximo evaluado de 10 MW en B5 no alcanzó el criterio de 0,95 p.u.",lower_check_mw=NR/no ejecutado; pérdidas Q derivadas del balance de CSV redondeado; FV en B1 puede mostrar AVR automático por ser slack.,2,62.71193,2-4-1,FallaLinea1_ElBight_SchoolHouse,NO_CUMPLE_TENSION,-0.000663,BE,0,NO,NO,0,SIM
BESS-04,1.2192,6,5.25,NR,YES,0,0.96352,6,1,48.021,0.654,2.41,10,10,0.950074,6,FallaLinea1_PuntaEvans_SchoolHouse,0,FallaTrafo1_SchoolHouse,13.06,GMD_1p2192m_B6/,"La potencia evaluada de 5,25 MW en B6 cumplió el criterio de tensión y los límites térmicos.",Margen numérico estrecho; lower_check_mw=NR/no ejecutado; pérdidas Q derivadas del balance de CSV redondeado; FV en B1 puede mostrar AVR automático por ser slack.,0,83.08632,3-5-2,FallaTrafo1_ElBight,CUMPLE_TENSION_Y_TERMICO,0.000074,BE,0,NO,NO,5.25,SIM
