Bus
Number,Name,AreaName,NomkV,Vpu,kV,Vangle,GenMW,GenMvar,LoadMW,LoadMvar,DistMW,DistMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,IslandNumber,Status
1,PE_132,1,"13,20"," 1,00000","  13,200","    0,00","   28,73","    6,36",,,,,,"    0,00","    0,00",1,1,1,Connected
2,2,1,"34,50"," 0,99065","  34,178","   -1,72",,,,,,,,"    0,00","    0,00",1,1,1,Connected
3,3,1,"34,50"," 0,97172","  33,524","   -2,64",,,,,,,,"    0,00","    0,00",1,1,1,Connected
4,4,1,"34,50"," 0,97155","  33,519","   -2,63",,,,,,,,"    0,00","    0,00",1,1,1,Connected
5,5,1,"13,20"," 0,96384","  12,723","   -4,59",,,"   20,26","    2,40","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
6,6,1,"13,20"," 0,96352","  12,718","   -4,12","    5,25","    0,00","   13,06","    1,55","    0,00","    0,00",,"    0,00","    0,00",1,1,1,Connected
